temp,precip,K,prio,alpha,beta,dom_rel,irr_rel,eco_rel,dom_crel,irr_crel,eco_crel,dom_res,irr_res,eco_res,dom_vul,irr_vul,eco_vul,cost
0,0.7,100,1,0.5,0.4,58.566666668,55.5,99.433333334,89.949999999,79.116666667,99.949999999,0.1254071491,0.1109651509,0.4739528132,0.4420634491,0.654952791,0.4652020855,8.8e+07
0,0.7,100,1,0.5,0.7,64.416666668,61.25,NA,85.633333333,77.116666668,NA,0.1699523101,0.1442199262,0.5295695849,0.5115111249,0.7262023465,0.4769191452,8.8e+07
0,0.7,100,1,0.5,1,68.266666667,65.450000001,NA,82.583333333,76.633333334,NA,0.2061594154,0.1784169877,0.5408262997,0.5830820383,0.778848217,0.4864101972,8.8e+07
0,0.7,100,1,0.7,0.4,57.183333334,55.5,98.966666666,71.933333332,65.016666667,99.566666667,0.1182114265,0.1109651509,0.4130925772,0.3897402667,0.7355487004,0.2935866967,8.8e+07
0,0.7,100,1,0.7,0.7,63.066666667,61.25,NA,73.166666668,69.133333334,NA,0.1591396933,0.1442199262,0.4729879766,0.4690517802,0.7807070016,0.2945340793,8.8e+07
0,0.7,100,1,0.7,1,67.2,65.450000001,NA,74.283333333,71.816666668,NA,0.1945614215,0.1784169877,0.5016504823,0.5514116541,0.8160013468,0.3062391533,8.8e+07
0,0.7,100,1,0.9,0.4,56.116666666,55.5,98.466666665,69.033333332,57.733333334,98.700000001,0.1138778545,0.1109651509,0.3739791893,0.3372255348,0.8566765135,0.0996489055,8.8e+07
0,0.7,100,1,0.9,0.7,61.883333334,61.25,NA,71.233333334,63.35,NA,0.1498572434,0.1442199262,0.4291157162,0.4302287046,0.8638031573,0.1017710954,8.8e+07
0,0.7,100,1,0.9,1,65.916666667,65.450000001,NA,73.066666668,67.483333333,NA,0.182255091,0.1784169877,0.463125478,0.516570401,0.8719299592,0.117702548,8.8e+07
0,0.7,100,2,0.5,0.4,60.033333332,55.5,99.949999999,91.633333332,79.116666667,100,0.1384469988,0.1109651509,0.3826413673,0.425832369,0.654952791,0.5696302087,8.8e+07
0,0.7,100,2,0.5,0.7,65.450000002,61.25,NA,87.466666669,77.116666668,NA,0.1813554986,0.1442199262,0.4437953938,0.4956572511,0.7262023465,0.6192193334,8.8e+07
0,0.7,100,2,0.5,1,69.066666667,65.450000001,NA,84.150000001,76.633333334,NA,0.2202124555,0.1784169877,0.4721039904,0.5690029322,0.778848217,0.6816215478,8.8e+07
0,0.7,100,2,0.7,0.4,57.849999999,55.5,99.949999999,74.050000001,65.016666667,100,0.1249358081,0.1109651509,0.3704596394,0.3625771958,0.7355487004,0.5474148339,8.8e+07
0,0.7,100,2,0.7,0.7,63.583333334,61.25,NA,74.666666666,69.133333334,NA,0.1651442009,0.1442199262,0.4289340267,0.4373407875,0.7807070016,0.6299377233,8.8e+07
0,0.7,100,2,0.7,1,67.666666668,65.450000001,NA,75.533333334,71.816666668,NA,0.2009311212,0.1784169877,0.46190015,0.5174377818,0.8160013468,0.7046948297,8.8e+07
0,0.7,100,2,0.9,0.4,56.366666664,55.5,99.949999999,73.283333335,57.733333334,99.983333333,0.114501282,0.1109651509,0.3664058794,0.281384742,0.8566765135,0.623107876,8.8e+07
0,0.7,100,2,0.9,0.7,61.966666668,61.25,NA,73.983333334,63.35,NA,0.1523817063,0.1442199262,0.4132057125,0.373507572,0.8638031573,0.6683835324,8.8e+07
0,0.7,100,2,0.9,1,66.033333333,65.450000001,NA,74.650000001,67.483333333,NA,0.183389704,0.1784169877,0.4480339883,0.4601099378,0.8719299592,0.7201603851,8.8e+07
0,0.7,100,3,0.5,0.4,60.033333332,56.6,99.949999999,91.633333332,81.600000001,100,0.1384469988,0.1189802116,0.3616239861,0.425832369,0.6335097782,0.6945790261,8.8e+07
0,0.7,100,3,0.5,0.7,65.450000002,61.966666668,NA,87.466666669,78.483333335,NA,0.1813554986,0.1527186413,0.4034165538,0.4956572511,0.7050764994,0.7437885907,8.8e+07
0,0.7,100,3,0.5,1,69.066666667,66.233333334,NA,84.150000001,77.85,NA,0.2202124555,0.1878946526,0.4401421082,0.5690029322,0.7608282362,0.7900358175,8.8e+07
0,0.7,100,3,0.7,0.4,57.849999999,56.200000001,99.949999999,74.050000001,67.666666665,100,0.1249358081,0.1157070807,0.3616239861,0.3625771958,0.6902133833,0.8011339734,8.8e+07
0,0.7,100,3,0.7,0.7,63.583333334,61.633333333,NA,74.666666666,70.833333334,NA,0.1651442009,0.1518423704,0.4034165538,0.4373407875,0.7479466655,0.8041372367,8.8e+07
0,0.7,100,3,0.7,1,67.666666668,65.883333333,NA,75.533333334,72.733333333,NA,0.2009311212,0.184540437,0.4401421082,0.5174377818,0.7949104961,0.8238260959,8.8e+07
0,0.7,100,3,0.9,0.4,56.366666664,55.816666667,99.949999999,73.283333335,59.516666667,99.983333333,0.114501282,0.112801871,0.3616239861,0.281384742,0.8013233885,0.9135871327,8.8e+07
0,0.7,100,3,0.9,0.7,61.966666668,61.333333332,NA,73.983333334,65.183333334,NA,0.1523817063,0.1453955038,0.4034165538,0.373507572,0.8127200255,0.9116997601,8.8e+07
0,0.7,100,3,0.9,1,66.033333333,65.583333333,NA,74.650000001,68.883333335,NA,0.183389704,0.1814122493,0.4401421082,0.4601099378,0.8362370707,0.900650487,8.8e+07
0,0.7,110,1,0.5,0.4,59.933333333,56.116666666,99.450000001,90.466666666,80.183333333,99.949999999,0.1254962088,0.1061764967,0.4709992451,0.440936617,0.6476344476,0.4611214314,94500000
0,0.7,110,1,0.5,0.7,65.416666667,62.383333333,NA,85.966666666,77.683333335,NA,0.1681010237,0.141562021,0.5290889325,0.5123685877,0.7280068546,0.477804478,94500000
0,0.7,110,1,0.5,1,69.083333334,66.383333332,NA,83.033333333,77.233333333,NA,0.206180554,0.1783999118,0.5404453705,0.5837680817,0.7807089939,0.4879417021,94500000
0,0.7,110,1,0.7,0.4,58.099999999,56.116666666,99,72.783333334,66.3,99.566666667,0.1176666975,0.1061764967,0.4079897504,0.3859656117,0.723453638,0.2929058683,94500000
0,0.7,110,1,0.7,0.7,64.199999999,62.383333333,NA,73.733333333,70,NA,0.1576713577,0.141562021,0.4742199385,0.4712805835,0.7819415112,0.2935184651,94500000
0,0.7,110,1,0.7,1,68.049999999,66.383333332,NA,74.816666667,72.5,NA,0.1945193062,0.1783999118,0.5014595962,0.552698015,0.8167583155,0.3065225172,94500000
0,0.7,110,1,0.9,0.4,56.7,56.116666666,98.516666666,70.283333332,58.483333334,98.766666668,0.1094666323,0.1061764967,0.3678326165,0.3315404777,0.843225991,0.0996161037,94500000
0,0.7,110,1,0.9,0.7,62.916666667,62.383333333,NA,72.033333333,64.433333333,NA,0.1477905063,0.141562021,0.4272940698,0.4308568202,0.8649233915,0.1019809042,94500000
0,0.7,110,1,0.9,1,66.816666666,66.383333332,NA,73.816666666,68.349999999,NA,0.1826912272,0.1783999118,0.462215824,0.5181016801,0.8727589921,0.1183986253,94500000
0,0.7,110,2,0.5,0.4,61.316666666,56.116666666,99.949999999,91.966666667,80.183333333,100,0.1370393309,0.1061764967,0.3807074736,0.4233281084,0.6476344476,0.5706631822,94500000
0,0.7,110,2,0.5,0.7,66.35,62.383333333,NA,87.766666667,77.683333335,NA,0.1807904298,0.141562021,0.4410435525,0.4952498418,0.7280068546,0.6209732681,94500000
0,0.7,110,2,0.5,1,69.883333333,66.383333332,NA,84.55,77.233333333,NA,0.220117685,0.1783999118,0.470179507,0.5698012691,0.7807089939,0.6820384718,94500000
0,0.7,110,2,0.7,0.4,58.966666667,56.116666666,99.949999999,74.899999999,66.3,100,0.123869695,0.1061764967,0.3688419916,0.3604008157,0.723453638,0.5407305805,94500000
0,0.7,110,2,0.7,0.7,64.683333334,62.383333333,NA,75.149999998,70,NA,0.163134187,0.141562021,0.4259059796,0.439008916,0.7819415112,0.6342472952,94500000
0,0.7,110,2,0.7,1,68.516666665,66.383333332,NA,76,72.5,NA,0.2010254797,0.1783999118,0.4603495988,0.5187408646,0.8167583155,0.7061599432,94500000
0,0.7,110,2,0.9,0.4,56.95,56.116666666,99.949999999,74.4,58.483333334,99.983333333,0.1117686597,0.1061764967,0.356117609,0.277249479,0.843225991,0.6001220825,94500000
0,0.7,110,2,0.9,0.7,63.016666667,62.383333333,NA,74.716666666,64.433333333,NA,0.1504497385,0.141562021,0.411132944,0.3744719673,0.8649233915,0.6680170865,94500000
0,0.7,110,2,0.9,1,66.933333333,66.383333332,NA,75.299999999,68.349999999,NA,0.1828374902,0.1783999118,0.448007938,0.4618814919,0.8727589921,0.7202931561,94500000
0,0.7,110,3,0.5,0.4,61.316666666,57.066666666,99.949999999,91.966666667,82.433333334,100,0.1370393309,0.1174211718,0.3503912649,0.4233281084,0.6232150794,0.6850000395,94500000
0,0.7,110,3,0.5,0.7,66.35,63.050000001,NA,87.766666667,78.933333334,NA,0.1807904298,0.150904696,0.4020627471,0.4952498418,0.7061390689,0.7445594667,94500000
