dataset,size,demand,nclim,nvar,temp,prec,rel,crel,safeyield
Princeton,80,57,1,1,0,0.7,99.2222222222222,99.6111111111111,66.875
Princeton,80,57,2,1,1,0.7,98.9444444444444,99.5,66.875
Princeton,80,57,3,1,2,0.7,98.7777777777778,99.4444444444444,66.875
Princeton,80,57,4,1,3,0.7,98.6666666666667,99.3333333333333,65.78125
Princeton,80,57,5,1,4,0.7,98.4444444444444,99.2777777777778,64.6875
Princeton,80,57,6,1,5,0.7,98.2222222222222,99.1666666666667,64.6875
Princeton,80,57,7,1,0,0.8,100,100,75.625
Princeton,80,57,8,1,1,0.8,100,100,75.625
Princeton,80,57,9,1,2,0.8,100,100,75.625
Princeton,80,57,10,1,3,0.8,99.9444444444444,100,73.4375
Princeton,80,57,11,1,4,0.8,99.8888888888889,100,73.4375
Princeton,80,57,12,1,5,0.8,99.8333333333333,99.9444444444444,73.4375
Princeton,80,57,13,1,0,0.9,100,100,82.1875
Princeton,80,57,14,1,1,0.9,100,100,82.1875
Princeton,80,57,15,1,2,0.9,100,100,81.09375
Princeton,80,57,16,1,3,0.9,100,100,81.09375
Princeton,80,57,17,1,4,0.9,100,100,80
Princeton,80,57,18,1,5,0.9,100,100,80
Princeton,80,57,19,1,0,1,100,100,88.75
Princeton,80,57,20,1,1,1,100,100,86.5625
Princeton,80,57,21,1,2,1,100,100,86.5625
Princeton,80,57,22,1,3,1,100,100,86.5625
Princeton,80,57,23,1,4,1,100,100,84.375
Princeton,80,57,24,1,5,1,100,100,84.375
Princeton,80,57,25,1,0,1.1,100,100,93.125
Princeton,80,57,26,1,1,1.1,100,100,90.9375
Princeton,80,57,27,1,2,1.1,100,100,90.9375
Princeton,80,57,28,1,3,1.1,100,100,90.9375
Princeton,80,57,29,1,4,1.1,100,100,90.9375
Princeton,80,57,30,1,5,1.1,100,100,90.9375
Princeton,80,57,31,1,0,1.2,100,100,97.5
Princeton,80,57,32,1,1,1.2,100,100,97.5
Princeton,80,57,33,1,2,1.2,100,100,95.3125
Princeton,80,57,34,1,3,1.2,100,100,95.3125
Princeton,80,57,35,1,4,1.2,100,100,95.3125
Princeton,80,57,36,1,5,1.2,100,100,95.3125
Princeton,80,57,37,1,0,1.3,100,100,99.6875
Princeton,80,57,38,1,1,1.3,100,100,99.6875
Princeton,80,57,39,1,2,1.3,100,100,99.6875
Princeton,80,57,40,1,3,1.3,100,100,99.6875
Princeton,80,57,41,1,4,1.3,100,100,99.6875
Princeton,80,57,42,1,5,1.3,100,100,97.5
Princeton,80,57,43,1,0,1.4,100,100,101.875
Princeton,80,57,44,1,1,1.4,100,100,101.875
Princeton,80,57,45,1,2,1.4,100,100,101.875
Princeton,80,57,46,1,3,1.4,100,100,101.875
Princeton,80,57,47,1,4,1.4,100,100,101.875
Princeton,80,57,48,1,5,1.4,100,100,101.875
Princeton,80,57,49,1,0,1.5,100,100,106.25
Princeton,80,57,50,1,1,1.5,100,100,106.25
Princeton,80,57,51,1,2,1.5,100,100,106.25
Princeton,80,57,52,1,3,1.5,100,100,106.25
Princeton,80,57,53,1,4,1.5,100,100,106.25
Princeton,80,57,54,1,5,1.5,100,100,104.0625
Princeton,80,57,55,2,0,0.7,99.9444444444444,100,69.0625
Princeton,80,57,56,2,1,0.7,99.8888888888889,100,69.0625
Princeton,80,57,57,2,2,0.7,99.8888888888889,100,67.96875
Princeton,80,57,58,2,3,0.7,99.7222222222222,99.9444444444444,67.96875
Princeton,80,57,59,2,4,0.7,99.6666666666667,99.8888888888889,66.875
Princeton,80,57,60,2,5,0.7,99.6111111111111,99.7222222222222,66.875
Princeton,80,57,61,2,0,0.8,100,100,75.625
Princeton,80,57,62,2,1,0.8,100,100,75.625
Princeton,80,57,63,2,2,0.8,100,100,75.625
Princeton,80,57,64,2,3,0.8,100,100,74.53125
Princeton,80,57,65,2,4,0.8,100,100,73.4375
Princeton,80,57,66,2,5,0.8,100,100,73.4375
Princeton,80,57,67,2,0,0.9,100,100,82.1875
Princeton,80,57,68,2,1,0.9,100,100,82.1875
Princeton,80,57,69,2,2,0.9,100,100,82.1875
Princeton,80,57,70,2,3,0.9,100,100,81.09375
Princeton,80,57,71,2,4,0.9,100,100,80
Princeton,80,57,72,2,5,0.9,100,100,80
Princeton,80,57,73,2,0,1,100,100,88.75
Princeton,80,57,74,2,1,1,100,100,88.75
Princeton,80,57,75,2,2,1,100,100,88.75
Princeton,80,57,76,2,3,1,100,100,86.5625
Princeton,80,57,77,2,4,1,100,100,86.5625
Princeton,80,57,78,2,5,1,100,100,86.5625
Princeton,80,57,79,2,0,1.1,100,100,93.125
Princeton,80,57,80,2,1,1.1,100,100,93.125
Princeton,80,57,81,2,2,1.1,100,100,93.125
Princeton,80,57,82,2,3,1.1,100,100,92.03125
Princeton,80,57,83,2,4,1.1,100,100,92.03125
Princeton,80,57,84,2,5,1.1,100,100,90.9375
Princeton,80,57,85,2,0,1.2,100,100,97.5
Princeton,80,57,86,2,1,1.2,100,100,95.3125
Princeton,80,57,87,2,2,1.2,100,100,95.3125
Princeton,80,57,88,2,3,1.2,100,100,95.3125
Princeton,80,57,89,2,4,1.2,100,100,95.3125
Princeton,80,57,90,2,5,1.2,100,100,95.3125
Princeton,80,57,91,2,0,1.3,100,100,99.6875
Princeton,80,57,92,2,1,1.3,100,100,99.6875
Princeton,80,57,93,2,2,1.3,100,100,99.6875
Princeton,80,57,94,2,3,1.3,100,100,99.6875
Princeton,80,57,95,2,4,1.3,100,100,99.6875
Princeton,80,57,96,2,5,1.3,100,100,97.5
Princeton,80,57,97,2,0,1.4,100,100,104.0625
Princeton,80,57,98,2,1,1.4,100,100,104.0625
Princeton,80,57,99,2,2,1.4,100,100,101.875
Princeton,80,57,100,2,3,1.4,100,100,101.875
Princeton,80,57,101,2,4,1.4,100,100,101.875
Princeton,80,57,102,2,5,1.4,100,100,101.875
